"manufacturer","productName","releaseYear","memSize","gpuClock","tmu","rop","igp","bus","gpuChip"
"AMD","Radeon Pro W6600M","2021",8,300,28,8,"Yes","IGP","Barcelo"
"AMD","Radeon Pro W6600","2021",8,300,28,8,"Yes","IGP","Cezanne"
"NVIDIA","Quadro T1200 Mobile","2021",4,300,28,8,"Yes","IGP","Cezanne"
"NVIDIA","GeForce RTX 3050 Ti Mobile","2021",4,300,32,8,"Yes","IGP","Lucienne"
"NVIDIA","GeForce RTX 3050 Ti Mobile","2021",4,400,28,8,"Yes","IGP","Renoir"
"NVIDIA","GeForce GTX 1650 Ti Mobile","2020",4,444,20,8,"Yes","IGP","Sumo"
"NVIDIA","GeForce GTX 1650 Ti Mobile","2020",4,600,20,8,"Yes","IGP","Sumo"
"AMD","Radeon RX 560X Mobile","2018",4,1500,24,16,"Yes","PCIe 4.0 x8","Rembrandt+"
"AMD","Radeon RX 560X Mobile","2018",2,300,24,8,"Yes","Ring Bus","Meteor Lake GT1"
"AMD","Radeon RX 560X Mobile","2018",4,300,24,12,"Yes","Ring Bus","Alder Lake GT1"
"AMD","Radeon RX 560X","2018",4,1500,24,16,"Yes","PCIe 4.0 x8","Rembrandt"
"AMD","Radeon RX 560DX","2018",4,300,24,8,"Yes","IGP","Cezanne"
"AMD","Radeon RX 550X 640SP","2018",2,300,24,8,"Yes","IGP","Cezanne"
"AMD","Radeon RX 550X","2018",4,200,32,8,"Yes","Ring Bus","Lakefield GT1"
"AMD","Radeon RX 540X Mobile","2018",2,400,24,8,"Yes","IGP","Renoir"
"AMD","Radeon Pro 560X","2018",4,854,24,16,"Yes","IGP","GV10B"
"AMD","Radeon Pro 555X","2018",4,300,24,12,"Yes","Ring Bus","Tiger Lake GT2"
"NVIDIA","Quadro P620 Mobile","2018",4,300,24,8,"Yes","IGP","Raven"
"NVIDIA","Quadro P620","2018",2,300,24,8,"Yes","IGP","Picasso"
"NVIDIA","GeForce GTX 1050 Ti Max-Q","2018",4,300,24,8,"Yes","Ring Bus","Ice Lake GT1"
"NVIDIA","GeForce GTX 1050 Max-Q","2018",4,300,48,6,"Yes","Ring Bus","Coffee Lake GT3e"
"NVIDIA","GeForce GT 1030 GK107","2018",2,300,24,8,"Yes","IGP","Raven"
"AMD","Radeon 550X Mobile","2018",4,500,4,4,"Yes","PCIe 1.0 x16","RS880"
"AMD","Radeon 550X 640SP","2018",4,560,4,4,"Yes","PCIe 1.0 x16","RS880"
"AMD","Radeon 540X Mobile","2018",2,590,4,4,"Yes","PCIe 1.0 x16","RS880"
"NVIDIA","Quadro P500 Mobile","2018",2,500,4,4,"Yes","PCI","RS880"
"NVIDIA","GeForce GT 1030 DDR4","2018",2,380,4,4,"Yes","PCIe 1.0 x16","RS880"
"AMD","Radeon RX 560D","2017",4,300,24,8,"Yes","IGP","Raven"
"AMD","Radeon RX 560 Mobile","2017",4,300,48,6,"Yes","Ring Bus","Coffee Lake GT3e"
"AMD","Radeon RX 560 Mobile","2017",4,200,24,8,"Yes","IGP","Wani"
"AMD","Radeon RX 560 Mobile","2017",4,300,48,6,"Yes","Ring Bus","Kaby Lake GT3e"
"AMD","Radeon RX 560 896SP","2017",4,300,48,6,"Yes","Ring Bus","Kaby Lake GT3e"
"AMD","Radeon RX 560","2017",4,955,24,8,"Yes","IGP","Jet"
"AMD","Radeon RX 550 Mobile","2017",2,955,24,8,"Yes","IGP","Jet"
"AMD","Radeon RX 550 640SP","2017",2,900,24,8,"Yes","IGP","Meso"
"AMD","Radeon RX 550 512SP","2017",2,955,24,8,"Yes","IGP","Jet"
"AMD","Radeon RX 550","2017",2,200,24,8,"Yes","IGP","Wani"
"AMD","Radeon RX 540 Mobile","2017",2,955,24,8,"Yes","IGP","Jet"
"AMD","Radeon RX 460 1024SP","2017",2,955,24,8,"Yes","IGP","Jet"
"AMD","Radeon Pro WX 4170 Mobile","2017",4,200,24,8,"Yes","IGP","Wani"
"AMD","Radeon Pro WX 4150 Mobile","2017",4,350,48,6,"Yes","Ring Bus","Skylake GT3e"
"AMD","Radeon Pro WX 4130 Mobile","2017",4,300,48,6,"Yes","Ring Bus","Skylake GT3e"
"AMD","Radeon Pro WX 3100","2017",4,300,48,6,"Yes","Ring Bus","Skylake GT3e"
"AMD","Radeon Pro 560","2017",4,554,24,8,"Yes","IGP","Spectre Lite"
"AMD","Radeon Pro 555","2017",2,900,24,8,"Yes","IGP","Topaz"
"AMD","Radeon E9175 PCIe","2017",4,900,24,8,"Yes","IGP","Topaz"
"AMD","Radeon E9174 MXM","2017",4,925,24,8,"Yes","IGP","Topaz"
"AMD","Radeon E9171 MCM","2017",4,925,24,8,"Yes","IGP","Topaz"
"NVIDIA","Quadro P600 Mobile","2017",4,720,24,8,"Yes","IGP","Spectre Lite"
"NVIDIA","Quadro P600","2017",2,533,24,8,"Yes","IGP","Spectre Lite"
"NVIDIA","Quadro P2000 Mobile","2017",4,925,24,8,"Yes","IGP","Topaz"
"NVIDIA","Quadro P1000 Mobile","2017",4,300,48,6,"Yes","Ring Bus","Broadwell GT3e"
"NVIDIA","Quadro P1000","2017",4,300,48,6,"Yes","Ring Bus","Broadwell GT3e"
"NVIDIA","Quadro P1000","2017",4,300,48,6,"Yes","Ring Bus","Broadwell GT3e"
"NVIDIA","Quadro M620 Mobile","2017",2,300,48,6,"Yes","Ring Bus","Broadwell GT3"
"NVIDIA","Quadro M2200 Mobile","2017",4,300,48,6,"Yes","Ring Bus","Broadwell GT3"
"NVIDIA","Quadro M1200 Mobile","2017",4,844,24,8,"Yes","IGP","Devastator"
"NVIDIA","GeForce GTX 1050 Ti Mobile","2017",2,533,24,8,"Yes","IGP","Devastator"
"NVIDIA","GeForce GTX 1050 Ti Mobile","2017",4,720,24,8,"Yes","IGP","Scrapper"
"NVIDIA","GeForce GTX 1050 Mobile","2017",2,533,24,8,"Yes","IGP","Devastator"
"NVIDIA","GeForce GTX 1050 Mobile","2017",2,554,24,8,"Yes","IGP","Devastator"
"NVIDIA","GeForce GT 720 OEM","2017",1.024,686,24,8,"Yes","IGP","Devastator"
"NVIDIA","Switch GPU 20nm","2017",4,500,4,4,"Yes","PCIe 1.0 x16","RS880"
"AMD","Radeon Pro WX 2100","2017",2,380,4,4,"Yes","PCIe 1.0 x16","RS780"
"AMD","Radeon E9173 PCIe","2017",2,350,4,4,"Yes","PCIe 1.0 x16","RS780"
"AMD","Radeon E9172 MXM","2017",2,500,4,4,"Yes","PCIe 1.0 x16","RS880"
"AMD","Radeon 550","2017",2,400,4,4,"Yes","PCIe 1.0 x16","RS880"
"AMD","Radeon 535 Mobile","2017",2,500,4,4,"Yes","PCIe 1.0 x16","RS780"
"AMD","Radeon 530X Mobile","2017",2,500,4,4,"Yes","PCIe 1.0 x16","RS780"
"AMD","Radeon 530 Mobile","2017",2,500,4,4,"Yes","PCIe 1.0 x16","RS780"
"AMD","Radeon 520 Mobile","2017",2,350,4,4,"Yes","PCIe 1.0 x16","RS780"
"AMD","Radeon 520 Mobile","2017",2,350,4,4,"Yes","PCIe 1.0 x16","RS780"
"NVIDIA","Tesla M10","2016",8,760,24,8,"Yes","IGP","Devastator"
"AMD","Radeon RX 460 Mobile","2016",4,360,24,8,"Yes","IGP","Devastator"
"AMD","Radeon RX 460","2016",2,320,24,8,"Yes","IGP","Devastator"
"AMD","Radeon RX 455 OEM","2016",2,800,24,8,"Yes","PCIe 2.0 x16","Devastator"
"AMD","Radeon R9 M470X","2016",4,760,24,8,"Yes","PCIe 2.0 x16","Devastator"
"NVIDIA","GeForce 920MX","2016",2,311,4,1,"Yes","Ring Bus","Bay Trail GT1"
"AMD","Radeon R7 M360","2015",2,400,4,1,"Yes","PCIe 1.0 x16","Lincroft"
"AMD","Radeon R7 M350","2015",4,200,4,1,"Yes","PCIe 1.0 x16","Poulsbo"
"AMD","Radeon R7 M350","2015",2,640,4,1,"Yes","PCI","Cedarview"
"AMD","Radeon R7 M340","2015",1.024,400,4,1,"Yes","PCI","Cedarview"
"AMD","Radeon R5 A240","2014",1.024,450,8,4,"Yes","PCIe 1.0 x16","C79"
"AMD","Radeon R5 A230","2014",4,450,8,4,"Yes","PCIe 1.0 x16","C79"
"AMD","Radeon R5 A220","2014",1.024,450,8,4,"Yes","PCI","ION"
"AMD","Radeon R5 230","2014",1.024,450,8,4,"Yes","PCI","ION"
"AMD","Radeon HD 8550M","2014",1.024,500,8,4,"Yes","PCIe 2.0 x16","GT218"
"AMD","Radeon HD 8530M","2014",1.024,450,8,4,"Yes","PCI","ION"
"NVIDIA","Quadro K200M","2014",1.024,450,8,4,"Yes","PCI","C79"
"NVIDIA","Quadro K100M","2014",1.024,450,8,4,"Yes","PCI","C7A-ION"
"NVIDIA","GeForce GT 730M","2014",2,500,8,4,"Yes","PCIe 2.0 x16","GT218"
"NVIDIA","GeForce GT 730A","2014",2,575,8,4,"Yes","PCI","ION"
"NVIDIA","GeForce GT 730","2014",1.024,450,8,4,"Yes","PCIe 2.0 x16","C79"
"NVIDIA","GeForce GT 720A","2014",1.024,450,8,4,"Yes","PCIe 2.0 x16","C79"
"NVIDIA","GeForce GT 720","2014",2,580,8,4,"Yes","PCIe 2.0 x16","C79"
"NVIDIA","GeForce GT 720","2014",1.024,450,8,4,"Yes","PCIe 2.0 x16","C79"
"NVIDIA","GeForce GT 710 PCIe x1","2014",1.024,450,4,4,"Yes","PCIe 2.0 x16","C77"
"NVIDIA","GeForce GT 710","2014",2,400,8,4,"Yes","PCIe 2.0 x16","C79"
"NVIDIA","GeForce GT 710","2014",2,400,4,4,"Yes","PCIe 2.0 x16","C77"
"NVIDIA","GeForce GT 705 OEM","2014",1.024,580,8,4,"Yes","PCI","C79"
"NVIDIA","GeForce 840M","2014",2,400,2,1,"Yes","PCI","Pineview"
"NVIDIA","GeForce 840A","2014",2,400,2,1,"Yes","FSB","Pineview"
"NVIDIA","GeForce 830M","2014",2,450,8,4,"Yes","PCI","C79"
"NVIDIA","GeForce 830A","2014",2,450,8,4,"Yes","PCI","C79"
"NVIDIA","GeForce 825M","2014",1.024,580,8,4,"Yes","PCI","C7A"
"NVIDIA","GeForce 820A","2014",1.024,450,8,4,"Yes","PCI","C79"
"NVIDIA","GeForce 810M","2014",1.024,450,8,4,"Yes","PCI","C79"
"NVIDIA","GeForce 810A","2014",2,500,8,4,"Yes","PCI","C78"
"NVIDIA","GeForce 805A","2014",1.024,500,8,4,"Yes","PCI","C78"
"NVIDIA","GeForce 800M","2014",1.024,500,8,4,"Yes","PCI","C78"
"NVIDIA","GeForce 800A","2014",1.024,500,8,4,"Yes","PCI","C78"
"NVIDIA","GeForce 800A","2014",1.024,500,8,4,"Yes","PCI","C78"
"NVIDIA","GeForce GTX 660M Mac Edition","2013",0.512,400,20,8,"Yes","IGP","Renoir"
"NVIDIA","GeForce GTX 650 Ti OEM","2013",2,780,20,8,"Yes","IGP","Meso"
"NVIDIA","GeForce GTX 650","2013",1.024,780,20,8,"Yes","IGP","Meso"
"NVIDIA","GeForce GTX 645 OEM","2013",1.024,780,20,8,"Yes","IGP","Jet"
"NVIDIA","GeForce GT 755M Mac Edition","2013",1.024,780,20,8,"Yes","IGP","Jet"
"NVIDIA","GeForce GT 755M","2013",2,780,20,8,"Yes","IGP","Jet"
"NVIDIA","GeForce GT 750M Mac Edition","2013",2,955,20,8,"Yes","IGP","Jet"
"NVIDIA","GeForce GT 750M","2013",2,780,20,8,"Yes","IGP","Jet"
"NVIDIA","GeForce GT 745M","2013",2,200,40,4,"Yes","Ring Bus","Haswell GT3e"
"NVIDIA","GeForce GT 745M","2013",2,200,40,4,"Yes","Ring Bus","Haswell GT3e"
"NVIDIA","GeForce GT 745A","2013",2,200,40,4,"Yes","Ring Bus","Haswell GT3"
"NVIDIA","GeForce GT 740M","2013",2,200,40,4,"Yes","Ring Bus","Haswell GT3"
"NVIDIA","GeForce GT 730M","2013",2,444,16,8,"Yes","IGP","Sumo"
"NVIDIA","GeForce 505 OEM","2013",1.024,400,16,8,"Yes","IGP","Sumo"
"AMD","Radeon HD 6850 1440SP Edition","2012",1.024,400,64,32,"Yes","PCIe 4.0 x8","Phoenix"
"NVIDIA","Quadro K5000M","2012",4,300,64,32,"Yes","Ring Bus","Meteor Lake GT1"
"AMD","Radeon HD 7550M","2012",1.024,450,8,4,"Yes","PCIe 2.0 x16","C79"
"NVIDIA","NVS 5200M","2012",1.024,660,2,2,"Yes","IGP","Wayne"
"NVIDIA","NVS 310","2012",0.512,672,4,4,"Yes","IGP","Wayne"
"NVIDIA","GeForce GT 635M","2012",1.024,416,8,8,"Yes","IGP","Kal-El"
"NVIDIA","GeForce GT 630M","2012",1.024,300,4,4,"Yes","IGP","Tegra 2"
"NVIDIA","GeForce GT 630M","2012",1.024,533,2,1,"Yes","PCIe 1.0 x16","Cloverview"
"NVIDIA","GeForce GT 625M","2012",2,400,4,4,"Yes","PCIe 1.0 x16","RS740"
"NVIDIA","GeForce GT 620M","2012",1.024,500,2,2,"Yes","PCI","C73"
"NVIDIA","GeForce GT 620 OEM","2012",0.512,400,4,4,"Yes","PCIe 1.0 x16","RS690"
"NVIDIA","GeForce GT 620","2012",1.024,400,4,4,"Yes","PCIe 1.0 x16","RS690"
"NVIDIA","GeForce GT 610 PCIe x1","2012",0.512,400,4,4,"Yes","PCIe 1.0 x16","RS690"
"NVIDIA","GeForce GT 610 PCI","2012",0.512,500,4,4,"Yes","PCIe 1.0 x16","RS600"
"NVIDIA","GeForce GT 610 OEM","2012",1.024,400,4,4,"Yes","PCIe 1.0 x16","RS690"
"NVIDIA","GeForce GT 610","2012",1.024,400,4,4,"Yes","PCIe 1.0 x16","RS690"
"NVIDIA","GeForce GT 520 OEM","2012",1.024,500,4,4,"Yes","PCIe 1.0 x16","RS600"
"NVIDIA","GeForce GT 520 OEM","2012",1.024,400,4,4,"Yes","PCIe 1.0 x16","RS690"
"NVIDIA","GeForce 9400 GT Rev. 3","2012",0.128,400,4,4,"Yes","PCIe 1.0 x16","RS690"
"NVIDIA","GeForce 620M","2012",1.024,400,2,2,"Yes","PCIe 1.0 x16","RS482"
"NVIDIA","GeForce 605 OEM","2012",0.512,300,2,2,"Yes","PCIe 1.0 x16","RC410"
"AMD","FirePro M2000","2012",1.024,667,8,1,"Yes","FSB","Bearlake"
"NVIDIA","GeForce GT 555M","2011",1.024,300,16,8,"Yes","Ring Bus","Raptor Lake GT1"
"NVIDIA","GeForce GT 550M","2011",1.024,800,16,8,"Yes","PCIe 4.0 x8","Phoenix"
"NVIDIA","GeForce GT 545 OEM","2011",1.024,300,16,8,"Yes","Ring Bus","Alder Lake GT1"
"NVIDIA","GeForce GT 540M","2011",1.024,300,16,8,"Yes","Ring Bus","Raptor Lake GT1"
"NVIDIA","GeForce GT 530 OEM","2011",1.024,300,64,32,"Yes","Ring Bus","Rocket Lake GT1"
"NVIDIA","GeForce GT 525M","2011",1.024,300,16,8,"Yes","Ring Bus","Alder Lake GT1"
"NVIDIA","GeForce GT 440 Mac Edition","2011",1.024,300,16,8,"Yes","Ring Bus","Rocket Lake GT1"
"NVIDIA","GeForce GT 440","2011",1.024,350,16,8,"Yes","Ring Bus","Tiger Lake GT1"
"NVIDIA","GeForce GT 435M","2011",1.024,350,16,8,"Yes","Ring Bus","Jasper Lake GT1"
"AMD","FirePro V4900","2011",1.024,300,16,8,"Yes","Ring Bus","Ice Lake GT1"
"AMD","FirePro M5950","2011",1.024,854,16,16,"Yes","IGP","GP10B"
"AMD","Radeon HD 6630M Mac Edition","2011",0.256,500,8,1,"Yes","FSB","Broadwater"
"AMD","Radeon HD 6490M Mac Edition","2011",0.256,500,8,1,"Yes","FSB","Crestline"
"AMD","Radeon HD 6490M","2011",0.512,400,8,1,"Yes","FSB","Bearlake"
"AMD","Radeon HD 6470M","2011",0.512,400,4,4,"Yes","FSB","Bearlake"
"AMD","Radeon HD 6450M","2011",1.024,400,4,4,"Yes","FSB","Bearlake"
"AMD","Radeon HD 6450A","2011",0.512,425,2,2,"Yes","PCIe 1.0 x16","C67"
"AMD","Radeon HD 6450 OEM","2011",0.512,630,2,2,"Yes","PCI","C73"
"AMD","Radeon HD 6450","2011",0.512,600,2,2,"Yes","PCI","C73"
"AMD","Radeon HD 6430M","2011",1.024,500,2,2,"Yes","PCI","C73"
"AMD","Radeon HD 6350A","2011",0.512,500,2,2,"Yes","PCI","C73"
"AMD","Radeon HD 6350","2011",0.512,200,3,1,"Yes","PCI","ES1000"
"AMD","Radeon HD 6290","2011",1.024,400,2,2,"Yes","PCIe 1.0 x16","RS485"
"AMD","Radeon HD 6250","2011",0.512,500,8,1,"Yes","FSB","Broadwater"
"AMD","Radeon HD 6230","2011",0.512,667,4,4,"Yes","FSB","Broadwater"
"ATI","Radeon HD 5530","2011",1.024,250,4,1,"Yes","FSB","Calistoga"
"ATI","Radeon HD 4450","2011",0.512,400,4,4,"Yes","FSB","Broadwater"
"AMD","Radeon E6460","2011",0.512,400,4,4,"Yes","FSB","Lakeport"
"NVIDIA","Quadro 400","2011",0.512,667,4,4,"Yes","FSB","Broadwater"
"Sony","Playstation Vita GPU","2011",0.128,667,4,4,"Yes","FSB","Broadwater"
"NVIDIA","NVS 4200M","2011",1.024,425,2,1,"Yes","PCIe 2.0 x1","C51"
"NVIDIA","NVS 300","2011",0.512,425,2,1,"Yes","PCIe 1.0 x16","C51"
"NVIDIA","GeForce GT 520MX","2011",1.024,425,2,1,"Yes","PCI","C68"
"NVIDIA","GeForce GT 520M","2011",1.024,425,2,1,"Yes","PCI","C68"
"NVIDIA","GeForce GT 520M","2011",1.024,425,2,1,"Yes","PCI","C68"
"NVIDIA","GeForce GT 520 PCIe x1","2011",1.024,425,2,1,"Yes","PCI","C68"
"NVIDIA","GeForce GT 520 PCI","2011",1.024,425,1,1,"Yes","PCI","C67"
"NVIDIA","GeForce GT 520","2011",1.024,425,1,1,"Yes","PCI","C68"
"NVIDIA","GeForce 9300 GS Rev. 2","2011",0.256,350,1,1,"Yes","PCIe 1.0 x16","C67"
"NVIDIA","GeForce 610M","2011",1.024,336,2,2,"Yes","PCIe 1.0 x16","RC410"
"NVIDIA","GeForce 610M","2011",1.024,300,2,2,"Yes","PCIe 1.0 x16","RS482"
"NVIDIA","GeForce 610M","2011",1.024,336,2,2,"Yes","PCIe 1.0 x16","RC410"
"NVIDIA","GeForce 610","2011",1.024,300,2,2,"Yes","PCIe 1.0 x16","RS480"
"NVIDIA","GeForce 510 OEM","2011",1.024,300,2,2,"Yes","PCIe 1.0 x16","RS480"
"NVIDIA","GeForce 410M","2011",0.512,300,2,2,"Yes","PCIe 1.0 x16","RS400"
"NVIDIA","GeForce 405M","2011",0.512,166,4,1,"Yes","FSB","Lakeport"
"NVIDIA","GeForce 315M","2011",0.512,250,4,1,"Yes","FSB","Lakeport"
"NVIDIA","GeForce 315 OEM","2011",0.256,333,4,4,"Yes","FSB","Alviso"
"NVIDIA","GeForce 315 OEM","2011",1.024,300,4,4,"Yes","PCIe 1.0 x16","RS480"
"AMD","FirePro 2270 PCIe x1","2011",0.512,300,2,2,"Yes","PCI","RC410"
"AMD","FirePro 2270","2011",0.512,333,4,4,"Yes","FSB","Grantsdale"
"ATI","Xbox 360 S GPU","2010",0.512,1000,16,16,"Yes","IGP","GM20B"
"AMD","Radeon HD 6570M","2010",1.024,497,16,4,"Yes","IGP","Spectre SL"
"AMD","Radeon HD 6550M","2010",1.024,758,16,4,"Yes","IGP","Spectre SL"
"AMD","Radeon HD 6550M","2010",1.024,800,16,8,"Yes","IGP","Devastator Lite"
"AMD","Radeon HD 6530M","2010",1.024,515,16,8,"Yes","IGP","Devastator Lite"
"ATI","Radeon HD 5770 X2","2010",1.024,720,16,8,"Yes","IGP","Scrapper"
"ATI","Radeon HD 5770 Mac Edition","2010",1.024,496,16,8,"Yes","IGP","Devastator Lite"
"ATI","Radeon HD 5670 640SP Edition","2010",0.512,496,16,8,"Yes","IGP","Devastator Lite"
"ATI","Radeon HD 5670","2010",1.024,760,16,8,"Yes","IGP","Devastator Lite"
"ATI","Radeon HD 5570 OEM","2010",1.024,327,16,8,"Yes","IGP","Devastator Lite"
"ATI","Mobility Radeon HD 5750","2010",1.024,444,12,4,"Yes","IGP","Sumo"
"NVIDIA","GeForce GT 330 OEM","2010",0.256,300,12,6,"Yes","Ring Bus","Raptor Lake GT1"
"NVIDIA","GeForce GT 330 OEM","2010",0.512,300,12,8,"Yes","Ring Bus","Alder Lake GT1"
"NVIDIA","GeForce GT 325M","2010",1.024,300,12,6,"Yes","Ring Bus","Alder Lake GT1"
"NVIDIA","GeForce GT 320M","2010",1.024,300,12,8,"Yes","Ring Bus","Rocket Lake GT1"
"NVIDIA","GeForce GT 320 OEM","2010",1.024,350,24,3,"Yes","Ring Bus","Comet Lake GT2"
"NVIDIA","GeForce GT 240M LE","2010",0.512,350,24,3,"Yes","Ring Bus","Comet Lake GT2"
"NVIDIA","GeForce GT 220","2010",1.024,350,24,3,"Yes","Ring Bus","Comet Lake GT2"
"NVIDIA","GeForce 9500 GT Mac Edition","2010",0.512,300,12,4,"Yes","IGP","Picasso"
"NVIDIA","GeForce 405 OEM","2010",1.024,300,24,3,"Yes","Ring Bus","Comet Lake GT2"
"ATI","FirePro V5800 DVI","2010",1.024,300,24,3,"Yes","Ring Bus","Comet Lake GT1"
"ATI","FirePro V5800","2010",1.024,300,24,3,"Yes","Ring Bus","Amber Lake GT2"
"ATI","FirePro V4800","2010",1.024,300,12,4,"Yes","IGP","Picasso"
